"A'çthe",Zernidor,sustantivo,"a'çthe",Herramienta,[]
"A'te",Luna,sustantivo,"a'te","Constelación",[]
"Açe",Odiar,verbo,"açe","Palabra de la lengua Nasa Yuwe, dialecto Wila",[]
"Açxa",Caliente,adjetivo,"açxa","Palabra de la lengua Nasa Yuwe, dialecto Wila",[]
Afx,Guama,sustantivo,afx,"Vegetal - Fruta",[]
Ah,Humo,sustantivo,ah,"Palabra de la lengua Nasa Yuwe, dialecto Wila",[]
Aka,Dolor,sustantivo,aka,"Síntoma",[]
Alku,Perro,sustantivo,alku,"Animal - Mamífero doméstico",[]
Alpes,Arveja,sustantivo,alpes,"Vegetal - Hortalizas",[]
Alum,Lobo,sustantivo,alum,"Animal - Mamífero salvaje",[]
Am,Hacha,sustantivo,am,"Palabra de la lengua Nasa Yuwe, dialecto Wila",[]
Anx,"Yo (Masculino)",pronombre,anx,"Palabra de la lengua Nasa Yuwe, dialecto Wila",[]
Ape,Auyama,sustantivo,ape,"Vegetal - Hortaliza",[]
Atalx,Gallina,sustantivo,atalx,Animal,[]
Ate,Limpio,adjetivo,ate,"Palabra de la lengua Nasa Yuwe, dialecto Wila",[]
Aza,Carpintero,sustantivo,aza,"Animal - Ave salvaje",[]
"Baakaçxtep","Por siempre",sustantivo,"baakaçxtep","Palabra de la lengua Nasa Yuwe, dialecto Wila",[]
Bab,Hombro,sustantivo,bab,"Anatomía",[]
Bajx,Tibio,adjetivo,bajx,"Palabra de la lengua Nasa Yuwe, dialecto Wila",[]
Beh,Rojo,sustantivo,beh,Color,[]
Beka,Chicha,sustantivo,beka,Bebida,[]
Bite,Colorido,adjetivo,bite,"Palabra de la lengua Nasa Yuwe, dialecto Wila",[]
Buk,"Barrigón",adjetivo,buk,"Palabra de la lengua Nasa Yuwe, dialecto Wila",[]
Bukh,Buco,sustantivo,bukh,"Palabra de la lengua Nasa Yuwe, dialecto Wila",[]
Bus,Mosquito,sustantivo,bus,"Animal - Insecto",[]
Buta,Rocha,adjetivo,buta,"Palabra de la lengua Nasa Yuwe, dialecto Wila",[]
Buusx,Nido,sustantivo,buusx,"Sustantivo - Útil",[]
"Çaam",Metal,sustantivo,"çaam",Recurso,[]
"Çbu","Çbu",sustantivo,"çbu","Palabra de la lengua Nasa Yuwe, dialecto Wila",[]
"Çenx",Verde,adjetivo,"çenx",Color,[]
"Çhukh",Cabeza,sustantivo,"çhukh","Anatomía",[]
"Çikh",Lleno,adjetivo,"çikh","Palabra de la lengua Nasa Yuwe, dialecto Wila",[]
